Ring_No,Date_recovered,Day_recorded,Month_recorded,Year_recorded,Accurancy_of_date_Euring_code,Condition_Euring_code,Circumstances_Euring_code,Circumstances_Euring_text,When dead,Date_reported
15554,10/15/1976,15,10,1976,5,3,01,Bird found dead,,14.09.1985
15556,9/18/1980,18,9,1980,9,3,01,Bird found long dead,Died summer 1980,22.09.1980
15559,6/18/1980,18,6,1980,9,3,01,Bird found long dead,,18.12.1980
15560,4/15/1979,15,4,1979,9,3,01,Bird found long dead,Died winter 1978-1979,29.06.1984
15562,8/20/1987,20,8,1987,0,3,01,Bird found dead (less than month),Died summer 1987,25.08.1987
15567,5/13/1995,13,5,1995,9,3,01,Bird found long dead,,26.05.1995
15661,11/15/1985,15,11,1985,1,2,11,Found shot,,23.10.1986
15666,7/16/1986,16,7,1986,0,4,50,Oiled by fulmar,,16.07.1986
15666,5/1/1987,1,5,1987,0,2,01,Bird found dead,,01.05.1987
15669,11/2/1985,2,11,1985,1,2,43,Hit wires,,03.11.1985
15963,6/18/1989,18,6,1989,0,2,50,Oiled by fulmar,,19.06.1989
15965,11/22/1988,22,11,1988,1,2,01,Bird found dead,,26.11.1988
15968,1/13/1989,13,1,1989,0,2,01,Bird found dead,,17.01.1989
15978,7/24/1989,24,7,1989,0,2,40,Road casuality,,24.07.1989
15980,6/1/1996,1,6,1996,9,3,01,Bird found long dead,Died winter 1994-1995,06.06.1996
15988,12/4/1989,4,12,1989,0,2,01,Bird found dead,,07.12.1989
15995,9/23/1990,23,9,1990,9,3,01,Bird found long dead,Died winter 1989-1990,25.09.1990
15998,8/29/1990,29,8,1990,0,3,58,Chick dead in nest,,03.09.1990
16152,4/15/1982,15,4,1982,5,3,01,Bird found dead,,23.11.1983
17551,5/16/1985,16,5,1985,0,8,20,Trapped at nest,,31.05.1985
17551,5/17/1987,17,5,1987,0,8,20,Trapped at nest,,13.10.1987
17562,3/23/1999,23,3,1999,0,5,50,"Hit wires, killed",,23.03.1999
17569,9/11/2004,11,9,2004,0,3,01,Bird found dead,,12.09.2004
17573,8/12/1999,12,8,1999,0,3,58,Chick dead in nest,,16.08.1999
17620,11/10/1982,10,11,1982,0,3,01,Bird found dead,,21.09.1983
17622,10/5/1982,5,10,1982,3,2,40,Road casuality,,29.06.1984
17625,8/13/1982,13,8,1982,0,2,43,Hit wires,,24.08.1982
17636,9/23/1983,23,9,1983,1,3,40,Road casuality,,29.06.1984
17637,6/16/2000,16,6,2000,9,3,01,Bird found dead long dead,Died winter 1998-1999,18.06.2000
17641,5/14/1987,14,5,1987,0,8,20,Trapped at nest,,13.10.1987
17645,3/21/1987,21,3,1987,9,3,50,"Found injured, killed",,03.09.1990
17649,10/6/1985,6,10,1985,0,3,01,Bird found dead,,10.10.1985
17649,4/22/1985,22,4,1985,0,4,50,Oiled by fulmar,,22.04.1985
17705,10/5/1991,5,10,1991,0,2,43,hit wires,,03.11.1991
17712,8/3/1991,3,8,1991,0,3,58,Chick dead in nest,,05.10.1995
17716,8/2/1991,2,8,1991,0,3,58,Chick dead in nest,,05.10.1995
17719,8/2/1991,2,8,1991,0,3,58,Chick dead in nest,,29.09.1996
17725,9/21/1995,21,9,1995,0,2,43,hit wires,,22.09.1995
17734,10/4/1995,4,10,1995,2,5,58,Sick,,17.10.1995
17735,8/12/1995,12,8,1995,0,3,58,Chick dead in nest,,13.09.1995
17743,6/16/2011,16,6,2011,9,3,01,Bird found long dead,Dead 3-5 years,01.07.2011
17747,3/15/1997,15,3,1997,2,2,43,Hit wires,,11.04.1997
17803,8/25/1985,25,8,1985,0,3,01,Bird found dead (less than month),,25.10.1985
17814,10/31/1985,31,10,1985,0,2,01,Bird found freshly dead,,01.11.1985
17823,8/14/1988,14,8,1988,0,3,01,Bird found long dead,Died year 1988,15.08.1988
17827,10/18/1986,18,10,1986,0,2,01,Bird found freshly dead,,22.10.1986
17840,7/23/1985,23,7,1985,0,3,58,Chick dead in nest,,00.00.1985
17843,8/12/1993,12,8,1993,0,2,01,Bird found freshly dead,,12.08.1993
17845,8/1/1986,1,8,1986,5,3,01,Bird found long dead,Died in June 1986,19.02.1987
17855,5/24/1987,24,5,1987,0,5,58,"Sick, killed",,24.05.1987
17856,5/15/1993,15,5,1993,4,3,01,Bird found long dead,Died winter 1992-1993,19.05.1993
17868,7/27/1987,27,7,1987,0,3,58,Chick dead in nest,,13.10.1987
17871,2/4/1988,4,2,1988,0,7,46,Entered building,,04.02.1988
17872,7/27/1987,27,7,1987,0,3,58,Chick dead in nest,,13.10.1987
17893,5/3/1988,3,5,1988,0,2,43,Hit wires,,04.05.1988
17931,6/1/1996,1,6,1996,9,3,01,Bird found long dead,No estimate,06.06.1996
17946,6/26/1985,26,6,1985,0,3,43,Hit wires,Died spring 1985,00.00.1985
17948,7/14/1984,14,7,1984,0,3,58,Chick dead in nest,,13.08.1984
17973,7/12/2005,12,7,2005,1,2,32,Barbed wire,,06.09.2005
17978,3/19/2007,19,3,2007,0,2,01,Bird found dead,,20.03.2007
18012,8/19/1990,19,8,1990,0,2,01,Bird found freshly dead,,19.08.1990
18013,8/15/1992,15,8,1992,0,3,58,Chick dead in nest,,25.08.1992
18020,9/11/1992,11,9,1992,0,5,58,"Sick, killed",,11.09.1992
18024,5/5/1993,5,5,1993,3,3,01,Bird found dead (less than month),,07.06.1993
18026,7/1/2002,1,7,2002,2,3,43,Hit wires,Died spring 2002,05.11.2002
18032,1/17/2009,17,1,2009,0,2,40,Road casuality,,02.02.2009
18047,6/29/1997,29,6,1997,0,3,01,Bird found long dead,Died probably winter 1995-1996,28.07.1997
110102,7/20/1979,20,7,1979,1,3,01,Bird found long dead,Died probably winter 1978-1979,17.08.1979
110115,10/6/1984,6,10,1984,0,2,40,Road casuality,,31.10.1984
110117,5/6/1988,6,5,1988,0,8,20,Trapped at nest,,03.07.1988
110118,5/6/1987,6,5,1987,0,8,20,Trapped at nest,,13.10.1987
110118,5/21/1988,21,5,1988,0,8,20,Trapped at nest,,04.07.1988
110124,6/27/1997,27,6,1997,0,2,01,Bird found dead (fresh),,02.07.1997
110126,7/4/1985,4,7,1985,0,2,40,Road casuality,,00.00.1985
110157,10/17/1986,17,10,1986,0,2,32,Barbed wire,,21.10.1986
110160,9/8/1982,8,9,1982,0,3,01,Bird found long dead,Died winter 1981-1982,08.09.1982
110163,8/26/1981,26,8,1981,0,2,40,Road casuality,,00.00.1981
110164,6/3/1982,3,6,1982,0,8,20,Trapped at nest,,13.02.1983
110164,5/15/1985,15,5,1985,0,8,20,Trapped at nest,,31.05.1985
110164,5/16/1987,16,5,1987,0,8,20,Trapped at nest,,13.10.1987
110165,8/30/1981,30,8,1981,0,2,40,Road casuality,,01.09.1981
110173,6/23/1982,23,6,1982,0,3,01,Bird found dead,Died spring 1982,24.06.1982
110174,9/28/1982,28,9,1982,0,2,11,Found shot,,19.10.1982
110192,10/15/1981,15,10,1981,4,2,40,Road casuality,,13.02.1983
110194,5/10/1985,10,5,1985,0,8,20,Trapped at nest,,31.05.1985
112503,9/29/1982,29,9,1982,0,5,50,"Found injured, killed",,28.09.1982
112508,5/29/1983,29,5,1983,0,2,40,Road casuality,,04.06.1983
112511,7/27/1982,27,7,1982,0,3,58,Chick dead in nest,,00.00.1982
112513,10/25/1982,25,10,1982,3,2,20,Shot,,17.04.1985
112518,6/1/1998,1,6,1998,0,5,50,Oiled by fulmar,,02.06.1998
112523,7/9/1982,9,7,1982,0,3,58,Chick dead in nest,,13.07.1982
112524,5/23/1994,23,5,1994,9,3,01,Bird found long dead,Died winter 1993-1994,24.05.1994
112525,3/17/1984,17,3,1984,0,8,20,Trapped at nest,,25.03.1984
112528,7/29/1985,29,7,1985,9,3,01,Bird found long dead,Died winter 1984-1985,29.07.1985
112530,6/15/1987,15,6,1987,9,3,01,No information,,03.09.1990
112534,8/9/1983,9,8,1983,0,2,43,Hit wires,,31.10.1984
112537,5/28/1984,28,5,1984,0,4,50,Caught and released,,28.05.1984
112540,5/17/1986,17,5,1986,9,3,01,Bird found long dead,Died winter 1985-1986,21.05.1986
112544,5/15/1987,15,5,1987,0,8,20,Trapped at nest,,13.10.1987
112549,6/15/1988,15,6,1988,9,3,01,No information,No estimate,03.09.1990
112550,7/22/1985,22,7,1985,0,5,58,"Sick, killed",,23.07.1985
112560,7/30/1986,30,7,1986,0,5,50,"Oiled by fulmar, killed",,00.07.1986
112561,7/30/1985,30,7,1985,0,3,58,Chick dead in nest,,00.00.1985
112562,5/30/1986,30,5,1986,9,3,01,Bird found dead,Died winter 1985-1986,06.06.1986
112564,10/30/1985,30,10,1985,0,7,46,Caught and released,,30.10.1985
112572,4/18/1987,18,4,1987,0,5,50,"Oiled by fulmar, killed",,22.04.1987
112575,7/28/1985,28,7,1985,0,3,58,Chick dead in nest,,00.00.1985
112576,7/28/1985,28,7,1985,0,3,58,Chick dead in nest,,00.00.1985
112585,6/14/1993,14,6,1993,9,3,01,No information,No estimate,18.06.2000
112588,6/15/1988,15,6,1988,9,3,01,Bird found long dead,Died winter 1987-1988,12.05.1989
112597,11/29/1986,29,11,1986,0,7,46,Entered building,,29.11.1986
112598,8/18/1987,18,8,1987,9,3,01,Bird found long dead,Died winter 1986-1987,25.08.1987
113278,3/12/1989,12,3,1989,0,2,40,"Road casuality, killed",,13.03.1989
113286,7/30/1990,30,7,1990,0,3,63,Taken by wild mammal,,27.09.1990
113468,5/31/2002,31,5,2002,9,3,01,Bird found long dead,Died winter 2001-2002,27.12.2002
113474,4/15/1987,15,4,1987,9,3,01,Bird found dead,Died winter 1986-1987,13.05.1987
